politician,politicianDescription,image,politicianLabel,date_of_birth
http://www.wikidata.org/entity/Q3187409,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Joel-guerriau-wikipedia.jpg,Joël Guerriau,1957-11-09T00:00:00Z
http://www.wikidata.org/entity/Q3187426,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Joel%20Labb%C3%A9%2007412%20r%C3%A9gionales%202015.jpg,Joël Labbé,1952-10-18T00:00:00Z
http://www.wikidata.org/entity/Q3187497,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Jo%C3%ABlle%20Garriaud-Maylam.jpg,Joëlle Garriaud-Maylam,1955-03-20T00:00:00Z
http://www.wikidata.org/entity/Q3189473,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Salon%20du%20livre%202012%20-%20Julien%20Dray%20-%20001.jpg,Julien Dray,1955-03-05T00:00:00Z
http://www.wikidata.org/entity/Q3190850,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9r%C3%B4me%20Chartier.jpg,Jérôme Chartier,1966-11-14T00:00:00Z
http://www.wikidata.org/entity/Q3190863,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9r%C3%B4me%20Coumet.jpg,Jérôme Coumet,1967-01-22T00:00:00Z
http://www.wikidata.org/entity/Q3190925,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9r%C3%B4me%20Guedj%202010.jpg,Jérôme Guedj,1972-01-23T00:00:00Z
http://www.wikidata.org/entity/Q3191042,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Jeromeriviere.jpg,Jérôme Rivière,1964-07-08T00:00:00Z
http://www.wikidata.org/entity/Q3193179,Algerian politician,http://commons.wikimedia.org/wiki/Special:FilePath/Karim%20Djoudi%20%282011%29.jpg,Karim Djoudi,1958-07-13T00:00:00Z
http://www.wikidata.org/entity/Q3193276,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Karine%20Claireaux%202015%20%28cropped%29.jpg,Karine Claireaux,1963-11-15T00:00:00Z
http://www.wikidata.org/entity/Q3193433,French journalist,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Olive.jpg,Karl Olive,1969-03-29T00:00:00Z
http://www.wikidata.org/entity/Q3218755,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Laure%20Deroche.jpg,Laure Déroche,1971-01-04T00:00:00Z
http://www.wikidata.org/entity/Q3218809,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Laure%20de%20la%20Raudi%C3%A8re.jpg,Laure de La Raudière,1965-02-12T00:00:00Z
http://www.wikidata.org/entity/Q3218844,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Abeille%2C%20D%C3%A9put%C3%A9e%20du%20Val-de-Marne.png,Laurence Abeille,1960-06-17T00:00:00Z
http://www.wikidata.org/entity/Q3218873,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Laurence%20Cohen.jpg,Laurence Cohen,1953-01-15T00:00:00Z
http://www.wikidata.org/entity/Q3218932,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/LR-2012-H%C3%A9micycle.JPG,Laurence Rossignol,1957-12-22T00:00:00Z
http://www.wikidata.org/entity/Q3219028,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/DeputeXIVeLegVeRep-Laurent%20Baumel1.jpg,Laurent Baumel,1965-08-13T00:00:00Z
http://www.wikidata.org/entity/Q3219088,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Lauren-Beteille-Brunoy-IMG%200501.JPG,Laurent Béteille,1948-04-19T00:00:00Z
http://www.wikidata.org/entity/Q3219320,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Laurent%20Lafon%20maire%20de%20Vincennes%2006-05-2008.jpg,Laurent Lafon,1965-11-18T00:00:00Z
http://www.wikidata.org/entity/Q3219579,French politician and essayist,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20laurent%20wetzel.jpeg,Laurent Wetzel,1950-01-16T00:00:00Z
http://www.wikidata.org/entity/Q3219634,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Laurianne%20Deniaud%20-%202009%20%282%29.jpg,Laurianne Deniaud,1982-03-29T00:00:00Z
http://www.wikidata.org/entity/Q3229419,French politician and activist,http://commons.wikimedia.org/wiki/Special:FilePath/SkolanEmsav%20LenaLouarn.jpg,Lena Louarn,1950-08-13T00:00:00Z
